,mid,uid,个人昵称,个人主页,发布时间,内容来自,展示内容,全部内容,转发数量,评论数量,点赞数量
34,4879249670408302,7548438499,寻梅小鹿,https://weibo.com/7548438499,2023年03月14日 17:47,HUAWEI Mate 30 5G,#福州大学考研#蹲个数字中国研究院的学长学姐​,None,0,2,3
35,4874436820338201,7509436385,盏赆,https://weibo.com/7509436385,2023年03月01日 11:02,Android,#福州大学考研#蹲蹲物理学的学长学姐​,None,0,2,2
36,4872607545167386,7481844066,喝奶茶要放珍珠,https://weibo.com/7481844066,2023年02月24日 09:53,考研超话,#考研##福州大学考研#出福州大学专硕生物技术与工程考研资料，两门专业课考研超话​,None,0,0,2
37,4871745947830750,5530849789,PeachAoCo,https://weibo.com/5530849789,2023年02月22日 00:50,iPhone客户端,#福州大学考研#明年就到我啰​,None,0,2,0
38,4871693153337552,7260282268,好好好好啊好好好,https://weibo.com/7260282268,2023年02月21日 21:20,iPhone客户端,#福州大学考研#出社会学考研资料➕真题#社会学考研#​,None,0,1,0
39,4869699806430394,6882803451,那就去山顶吧,https://weibo.com/6882803451,2023年02月16日 09:19,福州大学考研超话,最近陆陆续续收到了学弟学妹们的消息，有23级的同学问福大社工复试事项，也有24级的同学们在询问报录比和初试难度。我知道大家现在既担心工作下落，又着急毕业论文，同时担心考研成绩……目前也快开学咯，各种事情堆在了一起，浮躁、焦虑、拖延逃避、烦躁压抑等情绪在大家心里堆叠……考研漫漫路已经​展开,最近陆陆续续收到了学弟学妹们的消息，有23级的同学问福大社工复试事项，也有24级的同学们在询问报录比和初试难度。我知道大家现在既担心工作下落，又着急毕业论文，同时担心考研成绩……目前也快开学咯，各种事情堆在了一起，浮躁、焦虑、拖延逃避、烦躁压抑等情绪在大家心里堆叠……考研漫漫路已经走完大半了，过几天就要出分了，之后就是一系列的开始猜测自己能不能进复试、怎么准备复试、怎么看调剂、跑材料一系列问题了。我在这里概括一些复试事项吧，希望大家能镇静平缓下来等待期间多多关注官网消息，及时看福大通知。（我知道你很急啊喂但先别急）福州大学考研超话#福州大学考研##考研复试#社会工作考研超话,0,4,1
40,4856561858773640,3797159377,BbBBLa1r,https://weibo.com/3797159377,2023年01月11日 03:14,iPhone客户端,福州大学超话已上岸，良心出福大#考研##福州大学考研#620法学基础A和861法学基础B​,None,0,6,2
41,4855685227746275,7362348204,啦啦啦啦链8462358,https://weibo.com/7362348204,2023年01月08日 17:10,福州大学超话,福州大学超话已上岸，良心出福大#考研##福州大学考研#822有机和612物化考研资料​,None,0,5,4
42,4843732207932949,7574355469,钻研考研,https://weibo.com/7574355469,2022年12月06日 17:33,微博视频号,【适用院校专业】福州大学艺术设计考研-624设计理论-854设计基础【授课老师】本专业直系硕士【课程内容】全阶段（章节精讲、勾画重难点、强化高频考点、真题解析）备考课程、全套本专业备考资料#福州大学考研#福州大学考研超话艺术设计考研超话#福州大学艺术设计考研#钻研考研的微博视频​,None,0,1,1
43,4839677523396128,6583534166,乔乔学姐呀,https://weibo.com/6583534166,2022年11月25日 13:01,福州大学考研超话,福州大学考研超话🎉838管理学【第一名】学姐授课啦！🎉➡️考虑到考纲有变动，帮助大家更好的理解知识点，融会贯通，我们特地为全程班学员、冲刺课学员【免费】加课！👏➡️总共是增加4节课，总时长约3.5小时，现在这两天大家就可以去听啦~➡️我们的冲刺课程是由838管理学第一名珠艺学姐​展开,福州大学考研超话🎉838管理学【第一名】学姐授课啦！🎉➡️考虑到考纲有变动，帮助大家更好的理解知识点，融会贯通，我们特地为全程班学员、冲刺课学员【免费】加课！👏➡️总共是增加4节课，总时长约3.5小时，现在这两天大家就可以去听啦~➡️我们的冲刺课程是由838管理学第一名珠艺学姐和第二名冰冰学姐共同录制的，超强阵容，只为帮助大家上岸！✊✊✊✊✊#福州大学考研##福州大学##福大838##管理学考研##838管理学#福州·福州大学旗山校区图书馆,0,0,0
44,4819149555765841,6093414443,穿公主裙的呆呆小猫,https://weibo.com/6093414443,2022年09月29日 21:30,vivo S1 Pro 升降自拍,#福州大学考研#为啥今年福州大学推免人数这么多啊官网发布的是最终版本吗，统考名额会不会缩招啊都已经报名了长治​,None,0,0,1
45,4818983470239488,7766407708,佳佳滴考研记录,https://weibo.com/7766407708,2022年09月29日 10:30,HUAWEI P20 Pro,#福州大学考研#这是过复试的都是推免的吗？？怎么今年多了这么多去年0854的推免才几个啊​,None,0,0,0
46,4817533079392438,5859517635,小代hoyden,https://weibo.com/5859517635,2022年09月25日 10:27,Redmi K40,#福州大学考研#蹲一个食品工程上岸的学长学姐​,None,0,2,0
47,4795357626631051,6285032182,Uuvvwwwww,https://weibo.com/6285032182,2022年07月26日 05:50,真我GT大师探索版,#福州大学考研#求福州大学化学考研的资料，改成四大化学后所有的包括无机有机物化分析的资料​,None,0,1,0
48,4794358430436391,6583534166,乔乔学姐呀,https://weibo.com/6583534166,2022年07月23日 11:39,福州大学超话,福州大学超话【838管理学答疑】有小伙伴问“罗宾斯书每一章的附加模块要看吗?”➡️答疑：不需要⭐1.这几个附加模块的重要程度是不一样的，相对而已附加模块一比较重要一些。附加模块考到的概率很小。⭐2.把讲义背诵熟练是最关键的，我们的讲义保守估计每年都会命中90%以上的知识点。⭐3.​展开,福州大学超话【838管理学答疑】有小伙伴问“罗宾斯书每一章的附加模块要看吗?”➡️答疑：不需要⭐1.这几个附加模块的重要程度是不一样的，相对而已附加模块一比较重要一些。附加模块考到的概率很小。⭐2.把讲义背诵熟练是最关键的，我们的讲义保守估计每年都会命中90%以上的知识点。⭐3.全面很重要，有重点的高效学习更重要。专业课高效学习就是在给公共课更多时间复习，在为公共课拉分。福州大学考研超话#福州大学##福州大学考研##管理学考研#,0,3,0
49,4756283230522385,6333638597,琢木考研教育,https://weibo.com/6333638597,2022年04月09日 10:02,微博 weibo.com,#福州大学考研#保研超话福州大学保研学姐经验贴，道阻且长行则将至考研超话艺术设计考研超话设计考研超话保研人超话#考研经验贴##经验贴#保研经验超话#保研经验分享#『福州大学保研经验贴』道阻且长行则将至​,None,0,1,1
50,4746323654084542,7201238150,用户7201238150,https://weibo.com/7201238150,2022年03月12日 22:26,vivo X27 4800万三摄,#福州大学考研#有没有22考研考的福州大学生物技术与工程这个专业的学长或学姐呀！可以有偿的曲阜​,None,0,0,0
51,4743800377574195,7068514743,WAIWB哟,https://weibo.com/7068514743,2022年03月05日 23:20,nova7你在焦点在,#福州大学考研#求816的往年考研真题资料​,None,0,1,0
52,4741437855368758,7107335230,汤圆甜不甜不腻,https://weibo.com/7107335230,2022年02月27日 10:52,OPPO K7x,#福州大学考研#出福州大学，无机化学专业的资料​,None,0,1,0
53,4740319381293044,6882803451,那就去山顶吧,https://weibo.com/6882803451,2022年02月24日 08:47,Android,#福州大学考研#今年的社会工作专业课真的给分很低压呀！！！​,None,0,5,0
54,4740030503059931,7356232557,十四四四四i,https://weibo.com/7356232557,2022年02月23日 13:39,vivo S9e 极夜自拍,#福州大学考研#会计学硕382，本科江苏某双非院校，可能调剂到福州大学吗​,None,0,2,0
55,4724912834741202,5225510990,这翻译过来就是,https://weibo.com/5225510990,2022年01月12日 20:27,iPad客户端,#福州大学考研##翻译硕士#大家知道福大的翻译硕士复试的考试内容（不是参考书目）吗？有人出经验贴或者给一些备考经验吗？可以有偿，感谢​,None,0,0,0
56,4705685214856830,5767954013,想王哪跑www,https://weibo.com/5767954013,2021年11月20日 19:04,iPhone客户端,#福州大学考研##蹲一个资源与环境的学长学姐，孩子是23年考研的，准备考福州大学的资源与环境保护，想知道要什么备考资料​,None,0,2,0
57,4691569682155919,7357721813,考研调剂情报,https://weibo.com/7357721813,2021年10月12日 20:14,微博网页版,福州大学2021年接收调剂专业一览#福州大学考研##出道吧新星##考研准考证打印#​,None,0,1,5
