,mid,uid,个人昵称,个人主页,发布时间,内容来自,展示内容,全部内容,转发数量,评论数量,点赞数量
91,5037543481411421,3219024913,烨磊新蕾,https://weibo.com/3219024913,05月25日 01:41,None,#福大回应女生在校内电梯遭男生猥亵##福州大学##福州大学一男生猥亵女生#辅导员到底有没有冷处理？真的假的啊，有本校学生偷偷和我现身说法一下吗？？？为什么说被猥亵女生出于信任求助辅导员，辅导员还帮着30岁男的卖惨啊？？？？？​如果辅导员没有的话，女生得给自己的话负责任，和胖猫姐姐一样​展开,#福大回应女生在校内电梯遭男生猥亵##福州大学##福州大学一男生猥亵女生#辅导员到底有没有冷处理？真的假的啊，有本校学生偷偷和我现身说法一下吗？？？为什么说被猥亵女生出于信任求助辅导员，辅导员还帮着30岁男的卖惨啊？？？？？​如果辅导员没有的话，女生得给自己的话负责任，和胖猫姐姐一样别处理，这事情女的一直在引导舆论。既然警方已经介入了，等待警方通报和学校后续处理结果就行了，让子弹继续飞，不信谣，不传谣,2,4,11
92,5037730144977635,6554878491,住在秋天的西瓜,https://weibo.com/6554878491,05月25日 01:32,一加11 行星发动机,#福州大学一男生猥亵女生##福大回应女生在校内电梯遭男生猥亵##福州大学#不如关心一下真的没有争议的需要帮助的事情，而不是在这里打男权女权​,None,0,0,1
93,5037718730442013,6523928048,爱有千万种遗憾各不同,https://weibo.com/6523928048,05月25日 00:46,布丁狗的贝雷帽,#福州大学#,None,0,0,1
94,5037713183211797,6179185806,好运连连招财进宝福多多万事顺意,https://weibo.com/6179185806,05月25日 00:24,荣耀50 Pro 5G,#福州大学#辅导员是男的。。。🤔​,None,0,0,1
95,5037487653391518,5224009387,土味阿姨,https://weibo.com/5224009387,05月24日 23:23,None,真恶心啊#福州大学#​,None,10,9,165
96,5037682839000615,5016533977,鸢尾花的徽-章,https://weibo.com/5016533977,05月24日 22:24,Redmi K40,#福州大学#这位辅导员是谁呀，有人知道吗?​,None,0,0,2
97,5037560877813219,7270643484,长谷川大桃子,https://weibo.com/7270643484,05月24日 14:19,微博极速版,#福州大学#能不能别叫男生了好恶​,None,0,0,2
98,5037554586355039,1360306077,左岸朝颜青芜老,https://weibo.com/1360306077,05月24日 13:54,vivo X100,#福州大学#@福州大学🗡//@失忆蝴蝶完成雪人小狗:@福州大学下🗡️东西//@柹桉:211也会发生这种事吗？@福州大学福大还开着法学吧，为人师表，以身作则是假的吗？真让人寒心,None,1,0,0
99,5037550706622668,7764499031,幼恩葵葵,https://weibo.com/7764499031,05月24日 13:39,Android,#福州大学#1​,None,0,2,0
100,5037545321398528,6034428171,微妙的粉色海草饭,https://weibo.com/6034428171,05月24日 13:17,iPhone客户端,#福州大学#以这种方式认识你。。。你们这所学校不把辅导员和那b男一起开了那么你们的校史上会永远留下污点,None,0,1,5
